Time,Root,Expiry,Type,Strike,Qty,Price,Notional,Bid,Ask,Side,Volatility,Change,Delta,Open Interest,Exchange,Condition,Execution,Description,Hedge Price
09:30:00.0040000,TSLA,21-Feb-25,P,140,1,2.40,240,0.00,0.00,Other,59.1,0.0024,-0.0619,1068,PHLX,AutoExecution,,,221.46
09:30:00.0050000,TSLA,25-Oct-24,C,220,1,10.55,1055,10.55,10.75,Bid,61.4,-0.017,0.5508,8043,PHLX,AutoExecution,,,221.46
09:30:00.0050000,TSLA,25-Oct-24,C,255,1,1.25,125,0.00,0.00,Other,62.0,-0.0035,0.1103,3325,PHLX,AutoExecution,,,221.46
09:30:00.0050000,TSLA,17-Jan-25,C,200,1,35.95,3595,34.75,37.15,Mid,51.9,-0.0075,0.7136,31514,PHLX,AutoExecution,,,221.46
09:30:00.0050000,TSLA,25-Oct-24,C,235,1,4.65,465,4.65,4.80,Bid,60.8,-0.0195,0.3151,5240,PHLX,AutoExecution,,,221.46
09:30:00.0070000,TSLA,18-Oct-24,C,227.5,2,1.71,342,1.69,1.78,Mid,41.0,-0.0415,0.2831,9522,PHLX,AutoExecution,,,221.46
09:30:00.0070000,TSLA,18-Oct-24,C,217.5,1,6.15,615,0.00,0.00,Other,39.5,-0.0545,0.6737,11189,PHLX,AutoExecution,,,221.46
09:30:00.0110000,TSLA,08-Nov-24,C,250,10,4.50,4500,0.00,0.00,Other,56.7,0.003,0.2417,1716,PHLX,AutoExecution,,,221.46
09:30:00.0190000,TSLA,18-Oct-24,C,220,1,4.75,475,0.00,0.00,Other,40.6,-0.0284,0.5717,25782,ISE,AutoExecution,,,221.46
09:30:00.0220000,TSLA,18-Oct-24,C,220,19,4.60,8740,4.60,4.80,Bid,39.0,-0.0661,0.5739,25782,ISE_GEMINI,AutoExecution,,,221.46
09:30:00.0240000,TSLA,25-Oct-24,C,225,1,8.25,825,0.00,0.00,Other,61.3,-0.0088,0.4693,3396,ISE,AutoExecution,,,221.46
09:30:00.0350000,TSLA,18-Oct-24,C,222.5,21,3.40,7140,3.35,3.55,Mid,39.7,-0.0551,0.4695,10097,PHLX,AutoExecution,,,221.45
09:30:00.0350000,TSLA,18-Oct-24,P,205,2,0.33,66,0.00,0.00,Other,47.6,0.0136,-0.0636,13263,ISE,AutoExecution,,,221.45
09:30:00.0350000,TSLA,01-Nov-24,C,230,1,8.00,800,7.90,8.15,Mid,56.8,-0.0039,0.4157,2974,ISE,AutoExecution,,,221.45
09:30:00.0360000,TSLA,25-Oct-24,P,215,6,6.57,3942,6.50,6.70,Mid,61.7,-0.0024,-0.3686,4088,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.44
